"","user","majorContributor","responses","topics","avgNumberOfResponsesPerTopic","avgNumberOfResponsesBeforeResponse","avgNumberOfResponsesAfterResponse","entropy","yearJoined","firstDayResponse","avgGap","avgStd","standardTopics","normalTopics"
"192","blueyes",1,0,0,1.375,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"195","bob3",1,2,0,0,0,0,0.729163319,1,102,51,2.5,-0.409742201894859,0
"196","bob_carey",1,4,0,0,0,0,1.347024056,2,2,0.5,9.433981132,-0.409742201894859,0
"197","bob_reveles",1,3,2,0,0,0,0.945165801,2,9,1.8,10.89954127,0.305645534386436,0.0289855072463768
"200","boedica",1,0,13,8.4375,0,0,0.616387435,3,0,0,18.11273049,4.24027808393356,0.188405797101449
"202","boshra",1,11,9,24.5,41.45454545,120.1818182,2.277993281,4,0,0.25,36.42317257,2.80950261137097,0.130434782608696
"206","brad3",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"207","brandi",1,6,21,1.814814815,38.33333333,42.16666667,1.015436883,1,0,1.481481481,14.95260001,7.10182902905874,0.304347826086957
"212","brazshell",1,0,0,1.5,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"213","bree2",1,3,0,0,0,0,0.773305465,6,1,0.333333333,3.299831646,-0.409742201894859,0
"225","brnyrbr",1,0,0,9,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"227","broncoman",1,1,0,0,0,0,0.36458166,6,2,2,0,-0.409742201894859,0
"232","buck",1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"236","bvolkert",1,9,3,28.8,110.6666667,138,0.702628022,3,12,1,16.41878159,0.663339402527083,0.0434782608695652
"238","calily",1,9,4,0,0,0,1.354890412,6,0,1,6.456958084,1.02103327066773,0.0579710144927536
"243","candice68",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"245","carabeli",1,6,1,12.5,0,150,2.187489958,6,2,0.285714286,0,-0.0520483337542118,0.0144927536231884
"247","caring4patients",1,0,0,0,0,0,0,8,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"249","carly4",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"252","caro",1,3,0,0,0,0,1.077247736,0,7,2.333333333,0,-0.409742201894859,0
"253","carol17",1,1,2,0,0,0,0.325427612,5,8,2.666666667,4.082482905,0.305645534386436,0.0289855072463768
"258","carrie_j",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"259","carriejane",1,6,1,0,0,0,2.170992715,6,4,0.571428571,0.989743319,-0.0520483337542118,0.0144927536231884
"261","cassie_kile",1,0,2,0,0,0,0.673512028,2,15,7.5,0,0.305645534386436,0.0289855072463768
"263","cat5",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"264","cat9",1,1,0,0,0,0,0.36458166,5,15,15,0,-0.409742201894859,0
"266","catfan",1,1,0,0,0,0,0.178019898,5,55,55,0,-0.409742201894859,0
"267","cath",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"268","catherine_banks",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"269","cathy7",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"270","cathy_mcconkey",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"277","cc14",1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"281","cfredeb",1,0,0,3.5,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"286","charles2",1,1,0,0,0,0,0.36458166,2,65,65,0,-0.409742201894859,0
"287","chauncey",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"289","cheery_love",1,3,0,0,0,0,0.81911592,1,33,11,28.28427125,-0.409742201894859,0
"295","chelsea8",1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"297","cheryl22",1,10,0,0,0,0,0.348084416,7,4,2.9,8.966604709,-0.409742201894859,0
"298","cheryl9",1,9,2,0,0,0,1.425332152,3,11,1.545454545,3.077511069,0.305645534386436,0.0289855072463768
"304","chicago",1,0,0,57,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"305","chipchap42",1,1,0,0,4,10,0.325427612,6,128,128,0,-0.409742201894859,0
"306","chris12",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"310","chris52",1,1,0,0,0,0,0.36458166,5,2,2,0,-0.409742201894859,0
"313","chris_campbell",1,1,2,0,0,0,0.348084416,3,19,7.666666667,1.885618083,0.305645534386436,0.0289855072463768
"314","chris_g",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"316","chris_stiehl",1,1,0,0,0,0,0.36458166,2,43,43,0,-0.409742201894859,0
"320","christie2",1,9,4,5.909090909,15.88888889,20.33333333,2.09884418,2,3,0.230769231,12.06147959,1.02103327066773,0.0579710144927536
"322","christine_arenson",1,5,0,0,0,0,1.601381286,2,7,1.4,6.05309838,-0.409742201894859,0
"326","christy_jaylin_s_mom",1,2,1,0,0,0,0.690009271,2,47,16,0.471404521,-0.0520483337542118,0.0144927536231884
"327","chrystal2",1,1,2,0,0,0,0.325427612,5,0,1.333333333,1.885618083,0.305645534386436,0.0289855072463768
"329","ckurpiewski",1,0,1,0,0,0,0.178019898,6,22,22,0,-0.0520483337542118,0.0144927536231884
"330","clarence_haynes",1,0,1,0,0,0,0.36458166,1,17,17,0,-0.0520483337542118,0.0144927536231884
"332","cliff1",1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"334","clubkobe",1,0,0,2.5,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"335","coastal1",1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"347","craig1464",1,0,1,0,0,0,0.045935232,5,0,0,0,-0.0520483337542118,0.0144927536231884
"352","cyndibug",1,1,0,7,0,6,0.348084416,5,8,8,0,-0.409742201894859,0
"356","d_d_flack",1,9,1,0,0,0,3.130778306,2,25,3.9,17.18836816,-0.0520483337542118,0.0144927536231884
"358","dale4",1,9,2,6.25,18.66666667,96.66666667,2.267162791,3,4,0.454545455,49.97172754,0.305645534386436,0.0289855072463768
"359","dallas2",1,3,0,0,0,0,1.060750492,5,2,25.66666667,35.35533906,-0.409742201894859,0
"360","dana_wehr_jones",1,0,1,0,0,0,0.143054647,3,54,54,0,-0.0520483337542118,0.0144927536231884
"364","daniel17",1,5,1,0,0,0,1.164651091,6,25,4.166666667,17.68630983,-0.0520483337542118,0.0144927536231884
"366","daniel_w",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"369","danine",1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"373","darkstar74",1,8,0,0,9,34.25,1.465107822,6,8,3.75,8.011710179,-0.409742201894859,0
"381","daveh",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"383","david22",1,3,0,0,0,0,0.712666076,3,4,20.33333333,23.41414577,-0.409742201894859,0
"386","david33",1,2,0,0,0,0,0.696168833,4,14,7,2.5,-0.409742201894859,0
"388","david8",1,1,0,2,39,6,0.178019898,1,5,5,0,-0.409742201894859,0
"389","david_c_weisberg",1,15,4,0,0,0,0.777248358,2,22,19.89473684,107.7927888,1.02103327066773,0.0579710144927536
"395","dea",1,5,0,0,0,0,1.740422082,4,14,2.8,14.21829807,-0.409742201894859,0
"396","deansemperfi",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"397","deanusa",1,8,0,0,18,151.25,2.424271791,3,4,0.625,8.32071962,-0.409742201894859,0
"398","deathjamm",1,2,0,0,13.5,4.5,0.729163319,5,16,8,5,-0.409742201894859,0
"399","deb_b",1,1,0,0,0,0,0.325427612,3,33,33,0,-0.409742201894859,0
"402","debi",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"404","debmc",1,3,2,0,0,0,1.386178104,1,0,5.4,12.18851919,0.305645534386436,0.0289855072463768
"405","deborah3",1,10,4,0,0,0,1.892641441,4,0,3.714285714,17.10650908,1.02103327066773,0.0579710144927536
"406","debra4",1,5,1,0,0,0,0.715273235,3,44,7.333333333,0,-0.0520483337542118,0.0144927536231884
"409","dee26",1,1,0,0,0,0,0.129106649,6,3,3,0,-0.409742201894859,0
"413","delilahjed",1,2,0,0,122,240,0.696168833,3,15,7.5,0,-0.409742201894859,0
"415","denise_glezer_jones",1,0,1,0,0,0,0.143054647,2,0,0,0,-0.0520483337542118,0.0144927536231884
"417","denver",1,14,1,0,0,0,5.071148749,5,41,2.733333333,2.578543947,-0.0520483337542118,0.0144927536231884
"420","dhf_germany_embassy",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"421","di1",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"423","diabetesfamily",1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"426","diabetic_dad",1,0,21,0,0,0,6.354962328,7,1,0.238095238,5.082984821,7.10182902905874,0.304347826086957
"430","diabfighter",1,3,0,0,17,74.66666667,1.044253249,4,13,4.333333333,6.599663291,-0.409742201894859,0
"442","dogsaremykids",1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"444","domingo_liotta",1,11,4,0,0,0,2.951505309,2,7,0.466666667,36.00703635,1.02103327066773,0.0579710144927536
"446","don_crawford",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"447","donald_hantsbarger",1,0,1,0,0,0,0.36458166,2,1,1,0,-0.0520483337542118,0.0144927536231884
"454","doug1",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"462","drewg",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"468","dub1045",1,2,3,0,0,0,0.611536906,5,2,1.6,2.332380758,0.663339402527083,0.0434782608695652
"469","duchess",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"475","eduardo_halvorssen",1,0,0,0,0,0,0,0,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"478","elisa1840",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"479","elissa_weitzman",1,6,0,0,0,0,1.952565669,3,6,1,20.93176746,-0.409742201894859,0
"482","elizabeth_s",1,2,0,0,0,0,0.696168833,2,2,1,0,-0.409742201894859,0
"483","ellen_sherman",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"487","elly1",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"489","elsa_k",1,1,0,0,3,8,0.36458166,5,36,36,0,-0.409742201894859,0
"490","eme",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"491","emily13",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"494","emmy",1,4,0,0,0,0,1.199616342,0,26,6.5,12,-0.409742201894859,0
"497","eric1",1,1,1,0,0,0,0.690009271,0,0,6,6,-0.0520483337542118,0.0144927536231884
"501","erin_ball",1,16,0,0,0,0,3.264819176,2,6,0.375,0.390312375,-0.409742201894859,0
"506","esm",1,0,1,18,0,0,0.325427612,3,0,0,0,-0.0520483337542118,0.0144927536231884
"507","estpeters",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"508","ethan",1,2,0,0,0,0,0.729163319,6,6,3,0,-0.409742201894859,0
"510","everydayupsanddowns",1,4,0,0,1.75,9.75,1.324367251,4,4,1,25.85053191,-0.409742201894859,0
"516","farfalla",1,2,0,0,129,43,0.729163319,4,1,0.5,0,-0.409742201894859,0
"517","fayebella",1,2,1,6,62.5,38,0.729163319,7,2,0.666666667,7.071067812,-0.0520483337542118,0.0144927536231884
"518","felice",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"521","firehead",1,6,1,0,0,0,2.105003741,6,6,1.714285714,6.23354978,-0.0520483337542118,0.0144927536231884
"522","flipper",1,2,0,0,41.5,7.5,0.418957224,3,75,45,7.5,-0.409742201894859,0
"529","franklin",1,1,1,0,0,0,0.468482259,3,39,19.5,0,-0.0520483337542118,0.0144927536231884
"532","frontlinerocker",1,1,0,0,0,18,0,3,7,7,0,-0.409742201894859,0
"533","g111",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"534","gabarito",1,2,0,0,40.5,9,0.729163319,7,15,7.5,5,-0.409742201894859,0
"537","gammynan",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"538","garrett",1,1,2,0,0,0,0.325427612,2,13,4.333333333,0,0.305645534386436,0.0289855072463768
"539","gary15",1,2,1,0,0,0,0.056596792,4,6,2,8.259674462,-0.0520483337542118,0.0144927536231884
"544","garyp41",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"546","gayler",1,0,1,8.875,0,0,0.36458166,3,1,1,0,-0.0520483337542118,0.0144927536231884
"549","gerry",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"551","gina_capone",1,5,4,0,0,0,0.81911592,0,2,2.333333333,12.40171235,1.02103327066773,0.0579710144927536
"553","ginger2",1,2,0,0,0,0,0.729163319,6,9,4.5,0,-0.409742201894859,0
"554","ginny_e",1,1,3,1.285714286,1,2,0.518854924,2,0,0.5,32.00781155,0.663339402527083,0.0434782608695652
"555","girlygirl",1,7,3,5.75,6,30.57142857,0.077136632,3,3,0.3,4.5,0.663339402527083,0.0434782608695652
"558","gloria_gibbons",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"559","glucosegirl",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"561","goldengaitk9",1,1,0,0,0,0,0.325427612,3,25,25,0,-0.409742201894859,0
"565","graeme_swift",1,13,1,0,0,0,4.525097412,5,4,0.285714286,13.28264173,-0.0520483337542118,0.0144927536231884
"570","greg4",1,16,8,0,0,0,4.73912913,1,8,1.333333333,18.20866705,2.45180874323032,0.115942028985507
"580","hank_barnes",1,2,0,0,0,0,0.477191065,3,54,27,15,-0.409742201894859,0
"592","heather36",1,1,0,0,0,0,0.325427612,7,6,6,0,-0.409742201894859,0
"596","heather_nicole1",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"604","herman",1,7,0,0,24.28571429,72.57142857,1.672451667,1,10,1.428571429,8.315218406,-0.409742201894859,0
"606","hfw",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"607","highway2x",1,4,0,0,139.5,217.5,0.308546528,6,3,0.75,16.45448267,-0.409742201894859,0
"610","howard_imber",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"613","hunya",1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"615","ichoose",1,2,0,0,0,0,0.178019898,6,4,2,4,-0.409742201894859,0
"617","icuski2",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"618","ilana",1,6,4,6.307692308,0.5,420.1666667,2.14833591,3,10,1,5.273518749,1.02103327066773,0.0579710144927536
"619","ilhaam",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"622","isabel2",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"624","ivan_castro",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"625","ivan_e_cao_berg",1,2,3,0,0,0,0.650855223,0,1,4.2,24.92067415,0.663339402527083,0.0434782608695652
"627","j_claudio",1,1,0,0,0,0,0,4,13,13,0,-0.409742201894859,0
"628","j_strong",1,0,1,0,0,0,0.054375564,7,1,1,0,-0.0520483337542118,0.0144927536231884
"631","jackie1",1,6,12,0,0,0,1.181148335,1,9,2.166666667,13.2994941,3.88258421579291,0.173913043478261
"633","jacob_s_mom",1,1,3,0,0,0,1.093744979,4,2,0.5,2.165063509,0.663339402527083,0.0434782608695652
"637","jahangir_alam",1,7,2,0,0,0,0.859487305,2,48,5.444444444,40.67971861,0.305645534386436,0.0289855072463768
"640","james_burke86",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"641","james_type_1_diabeti",1,2,0,0,0,0,0.45453426,7,11,13,7.5,-0.409742201894859,0
"643","jamie6",1,5,2,0,0,0,0.850505146,1,11,10,29.15965902,0.305645534386436,0.0289855072463768
"647","jamie_shawn_cristoni",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"650","jane7",1,1,0,0,0,0,0.36458166,3,53,53,0,-0.409742201894859,0
"651","jane_m",1,6,0,0,0,0,1.033154136,2,5,2.333333333,13.3749351,-0.409742201894859,0
"658","jason11",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"666","jay3",1,6,0,0,0,0,0.36458166,1,27,4.833333333,12.80299444,-0.409742201894859,0
"668","jay6",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"681","jeff_cohen",1,1,0,0,0,0,0.077136632,1,7,7,0,-0.409742201894859,0
"683","jeffrey",1,1,2,0,0,0,0.468482259,0,4,1.333333333,1.247219129,0.305645534386436,0.0289855072463768
"684","jeffrey_aaron",1,1,2,0,0,0,0.36458166,0,3,8.666666667,10.40299102,0.305645534386436,0.0289855072463768
"686","jeffri_kay",1,6,1,1.5,89.16666667,107.5,1.806411055,3,4,0.571428571,0.349927106,-0.0520483337542118,0.0144927536231884
"691","jen14",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"692","jen40",1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"702","jennifer24",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"704","jennifer4",1,0,1,0,0,0,0.325427612,1,77,77,0,-0.0520483337542118,0.0144927536231884
"705","jennifer45",1,0,3,0,0,0,0.712666076,6,0,0.666666667,1.247219129,0.663339402527083,0.0434782608695652
"707","jennitar",1,0,1,0,0,0,0.36458166,4,4,4,0,-0.0520483337542118,0.0144927536231884
"713","jensenclan",1,0,1,0,0,0,0,4,2,2,0,-0.0520483337542118,0.0144927536231884
"721","jessica_kuddes",1,0,0,0,0,0,0,0,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"722","jessica_the_type_1_d",1,0,1,0,0,0,0.36458166,6,145,145,0,-0.0520483337542118,0.0144927536231884
"723","jessie7",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"731","jim_allison",1,7,3,0,0,0,1.345220234,1,30,16.5,46.82520689,0.663339402527083,0.0434782608695652
"736","jims",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"745","joe8",1,2,3,0,0,0,0.998939639,2,21,4.2,10.94714575,0.663339402527083,0.0434782608695652
"758","john9",1,11,2,0,0,0,3.020553876,1,3,0.307692308,5.358176851,0.305645534386436,0.0289855072463768
"759","john_carlton",1,2,0,0,0,0,0.650855223,3,20,10,0.5,-0.409742201894859,0
"762","john_owen_jones",1,1,1,0,0,14,0.542601557,2,7,4,0.5,-0.0520483337542118,0.0144927536231884
"767","johnhindepost",1,1,0,0,197,75,0.129106649,8,7,7,0,-0.409742201894859,0
"768","johnnyjumpstart",1,0,1,0.142857143,0,0,0.348084416,3,19,19,0,-0.0520483337542118,0.0144927536231884
"770","jojo6",1,8,1,0.5,14.25,20.125,1.767257007,3,17,4.111111111,8.447367915,-0.0520483337542118,0.0144927536231884
"771","jolaha",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"780","jonna",1,11,2,0,0,0,3.592768368,0,0,2.846153846,20.30594398,0.305645534386436,0.0289855072463768
"785","jorg1",1,3,0,0,0,0,0.325427612,6,13,21.66666667,24.51303508,-0.409742201894859,0
"788","joseph_mathew",1,0,0,8,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"790","joy10",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"792","joyce6",1,2,0,0,0,0,0.690009271,3,32,16,12.5,-0.409742201894859,0
"793","jt111",1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
