user,majorContributor,responses,topics,avgNumberOfResponsesPerTopic,avgNumberOfResponsesBeforeResponse,avgNumberOfResponsesAfterResponse,entropy,yearJoined,firstDayResponse,avgGap,avgStd
ajith,0,2,1,0,0,0,0.729163319,6,0,1.333333333,1.885618083
akiva,0,1,3,0,0,0,0.379803176,5,8,3.75,8.558621384
aksa,0,6,0,0,0,0,1.149785396,5,79,16.66666667,22.94195574
alanaclemens,1,2,0,0,3.5,153.5,0.258213298,3,3,1.5,6.5
albert_chen,0,20,4,0,0,0,3.806893397,0,0,0.375,55.70382991
albertacowpoke,1,1,1,0,17,6,0.503447509,4,0,1.5,1.5
alexmac,0,3,0,0,164.3333333,145.3333333,0.828875121,3,49,16.33333333,58.9255651
alice_west,0,2,0,0,0,0,0.056596792,1,20,10,3.5
aliraeu,0,5,2,2,28.8,45.2,1.25049653,3,43,20.71428571,31.45972482
alison_long,0,0,1,0,0,0,0.36458166,6,3,3,0
allen,1,1,0,0,0,0,0.36458166,1,7,7,0
allenmcelroy,0,3,0,0,8.666666667,12.33333333,0.890685974,6,5,4.333333333,5.734883511
alyssacr,0,4,4,12.33333333,27,101.5,1.945276905,2,41,8.375,8.587782019
amanda,0,6,2,0,0,0,2.187489958,0,6,0.875,59.65316421
amanda02,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
amanda13,0,2,0,0,0,0,0,1,41,20.5,3
amanda14,0,2,0,0,0,0,0.690009271,1,21,10.5,9
amanda17,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
amanda18,1,3,1,0,0,0,0.673512028,2,5,1.5,1.089724736
amanda28,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
amanda48,0,3,1,0,0,0,1.093744979,6,82,20.5,0
amanda5,1,3,14,0,0,0,1.336511428,1,3,1.705882353,73.56808395
amanda_boles,0,1,1,0,0,0,0.325427612,2,3,1.5,0
amanda_ferraro,1,2,1,0,0,0,0.696168833,2,5,1.666666667,2.828427125
amanda_heikkinen,0,4,1,0,0,0,1.193456781,2,3,7.4,13.6
amandaoriley,0,0,1,0,0,0,0.325427612,4,0,0,0
amanning1218,0,14,1,12,50.57142857,67.57142857,3.884225096,6,1,0.066666667,9.911609355
ambee,0,9,3,51.66666667,235.2222222,29.66666667,1.965962945,5,10,4.166666667,34.14552191
amber9,0,4,0,0,0,0,1.441829395,4,19,4.75,52.8316903
amber_anson,0,0,1,0,0,0,0.325427612,1,18,18,0
amidying,1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
amie,0,0,1,0,0,0,0.348084416,2,0,0,0
amy2188,0,3,2,0,0,0,0.502420729,5,5,10,22.04540769
amy25,0,2,0,0,0,0,0.690009271,3,7,18.5,15
amy_hogan,1,2,0,0,0,0,0.729163319,2,42,21,0
amy_horne,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
amy_l,0,2,0,0,0,0,0.325427612,1,3,1.5,5
amy_widick,0,3,0,0,0,0,0.868029169,2,6,2,0.942809042
andi2,0,1,0,0,0,0,0.348084416,2,49,49,0
andi6,0,2,1,0,0,0,0.729163319,3,2,1.666666667,1.699673171
andrea10,1,10,5,1.388888889,20.4,67.9,0.507636307,3,10,0.666666667,6.431174076
andrea14,0,4,0,0,0,0,1.392337665,4,3,0.75,3.464101615
andrea15,0,2,1,4,19.5,60.5,0.729163319,5,0,10.66666667,22.55363977
andrea21,0,2,0,0,0,0,0.348084416,6,10,5,14.5
andrea_c,0,5,0,0,0,0,0.874894719,2,25,14,25.57342371
andreag,0,3,2,0,0,0,1.093744979,5,8,1.6,0.489897949
andres_m_tavera,1,3,1,0,0,0,0.606297714,4,0,1.5,29.65952629
andrew_jhon_sansom,0,1,3,4,64,9,1.340864494,2,0,0.25,0.5
andy13,1,8,1,0,0,0,2.801172574,6,1,7.444444444,24.9151647
andy2,0,3,0,0,0,0,1.044253249,1,16,5.333333333,3.771236166
andy_taylor,0,15,0,0,0,0,2.451907184,4,2,12.26666667,39.50167366
andyjane,0,14,0,0,0,0,2.804583014,4,5,0.642857143,16.40930547
angel868606,0,5,2,0,0,0,1.458326639,5,1,0.571428571,4.62468973
angela_m,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
angela_marie_hagan,0,1,2,0,0,0,0.178019898,2,1,0.666666667,1.699673171
angela_rogers,0,0,1,0,0,0,0.325427612,2,2,2,0
angie8,0,11,2,6.666666667,44.36363636,55.63636364,2.612046912,2,8,0.615384615,34.30631249
angiemel,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
anita3,0,2,0,0,0,0,0.696168833,2,4,2,6.5
anita7,0,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
anita_logan,0,7,4,0,0,0,1.065805598,5,4,2.363636364,21.11440697
anj,1,1,0,0,0,0,0.325427612,2,47,47,0
anjalee_wingo,1,0,1,5,0,0,0.36458166,2,1,1,0
anna19,0,4,0,0,0,0,1.121389881,5,3,1.5,27.07858933
anna2,1,4,1,0,0,0,1.458326639,1,3,0.6,0
anna3,0,11,0,0,0,0,4.010398256,2,73,6.636363636,20.33845846
annarebekah,1,0,0,2,0,0,0,3,3.874194056,1.889718175,3.779269363
anne8,0,0,1,0,0,0,0.348084416,3,0,0,0
anne_findlay,1,4,1,0,0,0,0.412486561,0,40,10,13.20605922
annette_beauvais,0,3,0,0,36.66666667,25.5,1.038093688,2,35,11.66666667,16.13140484
annie12,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
annie20,0,3,0,0,0,0,1.044253249,7,16,5.333333333,3.299831646
annu,0,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
anthony8,0,1,1,0,0,0,0.325427612,6,3,1.5,0
anu_marjaana,0,0,1,0,0,0,0.325427612,2,0,0,0
aoife,1,0,0,0,0,0,0,0,3.874194056,1.889718175,3.779269363
archie,0,2,0,0,3,7.5,0.650855223,3,6,3,2
arcxoxo,0,0,1,8,0,0,0.36458166,6,0,0,0
arianne,0,1,0,0,0,0,0.143054647,1,33,33,0
art,0,5,0,0,0,0,1.551889556,1,3,2,6.675327707
ash1,0,3,0,0,0,0,0.690009271,2,16,12.66666667,9.416297928
ashley6,0,3,1,0,0,0,1.093744979,2,4,1,10.46422477
ashley7,0,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
ashley8,0,5,3,0,0,0,1.301710446,2,6,2.375,15.12448346
ashley_boyd,1,2,7,0,0,0,1.092573515,0,0,4,19.97776542
askmanny,1,2,21,0.001360544,0,496,0.81911592,0,0,0.434782609,4.871117765
asma_ad,0,10,4,0,0,0,2.41393411,2,15,6.071428571,51.84420342
atrannals,1,2,4,0,0,0,0.696168833,5,4,1,1.154700538
aubrey,0,7,0,0,0,0,1.021596444,1,11,2.142857143,25.07132682
audrey_graham_ferrar,0,0,1,0,0,0,0.36458166,4,5,5,0
awg0681,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
awillie,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
ayomideji,0,15,1,0,0,0,1.932542418,4,34,2.125,93.8424336
aztype1,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
azurah,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
b113,0,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
b1whorunskingston,0,0,1,0,0,0,0,5,0,0,0
babak,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
baby_peanut,1,6,0,0,0,0,0.169790375,4,2,0.333333333,7.335227028
backirish,0,8,0,0,0,0,2.760037085,5,7,0.875,7.615773106
badeth,0,3,0,0,0,75.66666667,0.976282835,1,7,2.333333333,42.48136847
badlands,1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363
badshoe,1,2,5,0,0,0,2.356301377,0,0,7.142857143,22.49988662
baglady,1,1,0,0,0,0,0.348084416,4,3,3,0
banjoplayer2,0,0,1,0,0,0,0.325427612,6,3,3,0
barb_wagstaff,1,6,9,0,0,0,1.363521299,1,0,9.133333333,59.82247812
barbara13,1,1,0,0,0,0,0.348084416,5,3,3,0
barbara_campbell,0,9,0,0,0,0,2.596132128,2,2,1.222222222,32.95376484
barbara_ludwig,0,8,0,0,0,0,1.194837234,1,71,8.875,42.40872552
barbara_vance,0,7,0,0,0,0,2.163590731,2,43,6.428571429,18.45789472
barbie2,0,1,1,0,0,0,0.507636307,3,16,8,0
barry_b,0,2,0,0,0,0,0.650855223,0,157,78.5,0
bart1,0,7,0,0,0,0,2.283023639,2,5,5.428571429,14.14934916
basketballmom,0,2,0,0,0,0,0.696168833,3,2,1,7
bathyscaph,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
bbach,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
bballmom,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
bc11,0,3,0,0,0,0,1.093744979,4,12,4,7.071067812
bch,0,1,1,8,4,4,0.348084416,5,8,5,1
bea,1,18,1,0,0,0,5.090259637,3,3,0.473684211,21.58998434
bebo321,0,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
bec1,1,0,2,0,0,0,0.36458166,5,1,0.5,4
becca,1,0,1,0,0,0,0.325427612,1,2,2,0
becki,1,1,0,0,0,0,0.348084416,6,10,10,0
becky18,0,2,0,0,0,0,0.729163319,3,12,6,9
becky25,0,10,2,81,23313,2809.8,1.780198977,6,34,2.833333333,3.851406669
becky_whittington,0,2,1,1,0,285,0.690009271,0,0,4.666666667,6.599663291
beibhinn_burke,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
bek,1,0,10,0,0,0,3.293430164,1,0,0.7,2.416609195
bella_ash,0,0,1,0,0,0,0,4,0,0,0
ben12,0,1,1,0,0,0,0.348084416,6,20,11.5,1.5
ben6,0,1,1,0,0,0,0.36458166,3,13,6.5,0
benjamminsf,0,6,1,0,0,0,1.891827833,3,7,1,11.1976674
bertha_bond_rogers,0,5,0,0,0,0,0.788466974,2,2,0.4,33.35625878
beth2,0,0,1,0,0,0,0.325427612,0,0,0,0
beth23,0,13,0,0,36.84615385,20.08333333,1.250355446,4,5,0.384615385,23.01118843
beth8,0,1,1,0,0,0,0.325427612,1,3,1.5,1
beth_schneider,0,0,1,0,0,0,0.348084416,2,0,0,0
bethanne_strasser,1,1,2,0,0,0,0.348084416,2,24,8.333333333,1.699673171
betty1,0,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
bherrick,0,3,1,3,0,68,1.170881611,4,35,9.25,0.866025404
bibiblu,0,5,0,0,0,24.6,1.822908298,3,16,3.2,28.75830315
bic1,0,2,2,0,0,0,0.998939639,3,23,5.75,0.433012702
biddy,0,1,1,7.5,0,26,0.36458166,6,2,1,0
biedronk,1,0,1,0,0,0,0.348084416,5,6,6,0
big_d,0,2,1,0,0,0,0.696168833,3,65,21.66666667,0
bijesh,0,4,0,0,0,0,0.758604039,2,6,1.5,3.640054945
bill11,0,7,1,0,0,0,0.284546626,3,117,18.375,41.36952381
bill_d,1,12,1,0,0,0,1.708856686,3,21,3.384615385,46.74746457
bill_davis,0,1,0,0,0,0,0.348084416,2,64,64,0
bill_h,0,2,2,0,0,0,0.673512028,5,0,7,12.25765067
bill_halper,1,2,0,0,0,0,0.348084416,2,8,4,64.5
bill_harper,0,2,1,0,0,0,0.646502156,2,1,0.666666667,0.471404521
bill_n,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
bill_quick,1,10,1,0,0,0,3.480844163,5,95,8.636363636,0.287479787
bill_stalder,0,4,0,0,0,0,1.392337665,2,13,3.25,5
billie_manning,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
billy1,0,7,0,0,0,0,2.16245085,2,11,3,54.52054471
bjorn,0,2,0,0,0,0,0.348084416,1,66,33,0
bjorn_inge_vikhammer,1,2,0,0,0,0,0.650855223,6,2,1,1.5
blazer1155,0,16,1,6,87.5,77.8,3.29230096,4,5,3.470588235,43.88361455
ble4_20,0,2,0,0,48.5,10.5,0.729163319,7,8,4,7
blooddrop,0,1,1,2,64,34,0.325427612,4,12,6,0
bluebelle21,0,2,0,0,23.5,79,0.696168833,6,18,9,11
bluecupcake,0,0,1,0,0,0,0.178019898,3,0,0,0
blueyes,1,0,0,1.375,0,0,0,6,3.874194056,1.889718175,3.779269363
bob11,0,1,2,0,0,0,0.673512028,3,10,3.333333333,0
bob13,0,2,1,0,0,0,1.054590931,3,5,1.666666667,0
bob3,1,2,0,0,0,0,0.729163319,1,102,51,2.5
bob_carey,1,4,0,0,0,0,1.347024056,2,2,0.5,9.433981132
bob_reveles,1,3,2,0,0,0,0.945165801,2,9,1.8,10.89954127
bobby3,0,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
bobby_crow_feather,0,5,2,0,0,0,0.690009271,0,1,11,21.7912171
boedica,1,0,13,8.4375,0,0,0.616387435,3,0,0,18.11273049
boilerman,0,2,3,14,63,7,0,6,8,1.8,1.469693846
boshra,1,11,9,24.5,41.45454545,120.1818182,2.277993281,4,0,0.25,36.42317257
boston,0,8,1,0,0,0,1.81805556,3,4,0.888888889,3.083208206
bowen,0,10,1,0,0.4,25.1,3.56333038,4,8,0.727272727,6.523954588
brad,0,1,1,0,0,0,0.36458166,0,23,11.5,0
brad3,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
brandi,1,6,21,1.814814815,38.33333333,42.16666667,1.015436883,1,0,1.481481481,14.95260001
brandi1,0,0,1,0,0,0,0.36458166,2,0,0,0
brandi2,0,5,0,0,0,0,0.712666076,2,54,11.8,15.71496102
brandon3,0,3,0,0,0,0,1.021596444,3,3,14,18.38477631
brandon_burkhardt,0,1,4,0,0,0,0.690009271,5,4,2.2,10.89954127
brazshell,1,0,0,1.5,0,0,0,1,3.874194056,1.889718175,3.779269363
bree2,1,3,0,0,0,0,0.773305465,6,1,0.333333333,3.299831646
brenda1,0,3,1,0,0,0,0.325427612,1,2,0.5,9.300537619
brenna,0,5,1,0,0,0,1.744600202,3,19,3.333333333,3.547299442
brenna_collyard,0,3,1,0,0,0,0.63419371,2,5,1.25,0
brian11,0,0,3,0,0,0,1.044253249,1,0,0,1.699673171
brian24,0,2,2,0,0,0,1.021596444,4,0,18.5,71.37226352
brian_piccolo,0,7,1,0,0,0,2.131838667,2,91,11.375,5.338539126
brian_tannebaum,0,2,0,0,0,0,0.356039795,1,5,2.5,1.5
brian_whitlock,0,26,0,0,0,0,5.128338358,4,7,9.115384615,82.62778341
bridget_mcnulty,0,3,4,0,0,0,1.131727563,2,2,3.714285714,11.02501793
briguy,0,11,2,0,0,0,3.845425823,2,11,0.846153846,22.11561873
brittaney_nichols,0,0,3,0,0,0,0.868029169,1,26,8.666666667,0
brnyrbr,1,0,0,9,0,0,0,3,3.874194056,1.889718175,3.779269363
brogan,0,2,3,0,0,0,0.650855223,2,26,5.4,13.8477435
broncoman,1,1,0,0,0,0,0.36458166,6,2,2,0
bruce_woodward,0,3,0,0,0,0,0.729163319,2,17,13,11.43095213
bryan_waterman,0,2,4,0,0,0,0.690009271,2,2,0.666666667,8.274794392
bubbles,0,0,1,0,0,0,0.325427612,5,12,12,0
buchsee,0,0,1,0,0,0,0.325427612,4,5,5,0
buck,1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
buckeyegirloh,0,2,0,0,0,0,0.696168833,7,22,11,1
buffy_joseph,1,17,0,0,0,0,1.007714448,2,13,0.764705882,66.84216807
butterflyheart,0,7,0,0,41.57142857,335.4285714,2.096461877,5,38,5.428571429,11.91466255
bvolkert,1,9,3,28.8,110.6666667,138,0.702628022,3,12,1,16.41878159
cal_cahill,0,3,1,0,0,0,1.015436883,2,2,0.5,7.084313658
calily,1,9,4,0,0,0,1.354890412,6,0,1,6.456958084
cameron_buss,0,5,1,0,0,0,1.179344513,1,4,0.833333333,4.18993503
canadian122,0,3,1,10,13.33333333,17.33333333,0,5,6,1.5,1.732050808
canadian_diabetes_as,0,0,2,0,0,0,0.36458166,3,0,0,0
candee,0,3,1,0,0,0,0.729163319,3,16,12.75,26.33794791
candice68,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
candyapple779799,0,2,0,0,1984.5,166,0.307126547,6,2,17.5,16.5
carabeli,1,6,1,12.5,0,150,2.187489958,6,2,0.285714286,0
carey_tarr,0,1,1,0,0,0,0.325427612,2,0,20,20
caring4patients,1,0,0,0,0,0,0,8,3.874194056,1.889718175,3.779269363
carl_kanzabedian,0,8,11,0,0,0,2.576035245,1,0,0.631578947,42.60746557
carly4,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
carly5,0,2,1,0,0,0,0.712666076,5,15,6.333333333,7.717224602
carmen5,0,3,7,0,0,0,0.468482259,5,5,2.2,12.4503012
caro,1,3,0,0,0,0,1.077247736,0,7,2.333333333,0
carol17,1,1,2,0,0,0,0.325427612,5,8,2.666666667,4.082482905
caroles4,0,1,1,0,0,0,0.712666076,6,0,2.5,2.5
caroline_l,0,2,0,0,0,0,0.712666076,4,28,14,8
carrie10,0,14,3,0,0,0,2.925748537,3,17,2.294117647,25.91174801
carrie2,0,3,0,0,0,8.333333333,0.976282835,1,12,4,5.185449729
carrie_j,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
carriejane,1,6,1,0,0,0,2.170992715,6,4,0.571428571,0.989743319
caseysteffen,0,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
cassie_kile,1,0,2,0,0,0,0.673512028,2,15,7.5,0
cassie_rae,0,0,1,0,0,0,0.325427612,2,0,0,0
cat5,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
cat9,1,1,0,0,0,0,0.36458166,5,15,15,0
catandmouse,0,4,1,6,75.25,42.75,1.425332152,3,13,2.6,42.32446101
catfan,1,1,0,0,0,0,0.178019898,5,55,55,0
cath,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
catherine_banks,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
cathy7,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
cathy_mcconkey,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
cathy_ohlson,0,6,0,0,0,0,1.060750492,3,2,0.333333333,25.76658042
catiesmom,0,2,0,0,0,0,0.729163319,4,4,2,4.5
catjeg,0,2,0,0,0,0,0.729163319,2,11,5.5,16
catluvr,0,1,0,0,8,1,0.348084416,3,272,272,0
cayla_leigh,0,0,2,0,0,0,0.433501194,3,51,25.5,49.5
cayson_thurman,0,0,1,0,0,0,0.36458166,2,5,5,0
cc14,1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363
ccc,0,15,2,4,210.2,65.86666667,4.320471178,4,60,10.76470588,81.7399878
cecilia,0,2,0,0,0,0,0.503447509,3,12,6,1
cfah,0,3,6,0,0,0,0.43417874,4,1,0.666666667,1.98761598
cfredeb,1,0,0,3.5,0,0,0,3,3.874194056,1.889718175,3.779269363
cgar,0,2,1,7,1563,584,0.696168833,6,1,0.666666667,0.471404521
cgm_pump_fan,0,6,1,0,0,0,1.711605715,4,0,4.857142857,15.05228981
char,0,3,0,0,0,0,1.093744979,3,13,4.333333333,28.54625875
charles1,0,0,1,0,0,0,0.36458166,1,5,5,0
charles2,1,1,0,0,0,0,0.36458166,2,65,65,0
chauncey,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
cheats,0,15,0,0,0,0,4.339114131,3,4,9.066666667,57.15102799
cheery_love,1,3,0,0,0,0,0.81911592,1,33,11,28.28427125
chef_robert_the_happ,0,8,0,0,0,0,1.312862143,3,14,5.625,14.24561336
chel,0,1,1,0,0,0,0.673512028,6,37,18.5,3
chelcie_rice,0,1,0,0,0,0,0.36458166,2,17,17,0
chelsea6,0,2,2,2.5,3,13,0.841772725,6,48,17.25,9.09326674
chelsea7,0,6,0,0,0,0,2.065849693,6,66,20.16666667,24.7773418
chelsea8,1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
cherise1,0,2,0,0,0,0,0.650855223,1,43,21.5,2.5
cheryl22,1,10,0,0,0,0,0.348084416,7,4,2.9,8.966604709
cheryl9,1,9,2,0,0,0,1.425332152,3,11,1.545454545,3.077511069
cheryl_aka_superfox,0,4,1,0,0,0,0.852745437,1,23,8,5.425863987
cheryl_eklund,0,2,0,0,0,0,0.690009271,2,12,6,2
cheryl_slaunwhite,0,2,0,0,0,0,0.690009271,2,19,12,2.5
cheyennejack,0,11,2,0,0,0,1.202673101,1,22,2.538461538,10.84260717
chi,0,3,1,0,0,0,0.727991855,2,2,0.5,6.062177826
chicago,1,0,0,57,0,0,0,3,3.874194056,1.889718175,3.779269363
chipchap42,1,1,0,0,4,10,0.325427612,6,128,128,0
chris12,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
chris27,0,13,2,0,0,0,4.087534888,2,51,3.4,8.246211251
chris44,0,2,0,0,0,0,0.712666076,3,4,24,22
chris50,0,1,1,0,0,0,0.348084416,5,7,3.5,0
chris52,1,1,0,0,0,0,0.36458166,5,2,2,0
chris9,0,1,1,0,0,0,0.712666076,1,16,8,0
chris_anderson,0,7,1,0,0,0,2.486082644,2,6,9.75,28.28399503
chris_campbell,1,1,2,0,0,0,0.348084416,3,19,7.666666667,1.885618083
chris_g,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
chris_sharpe,0,3,0,0,0,0,0.425221048,0,4,3.666666667,3.299831646
chris_stiehl,1,1,0,0,0,0,0.36458166,2,43,43,0
chrisk,0,7,1,0,0,0,2.154495471,1,8,1.25,40.42721082
christi_p,0,4,0,0,0,0,1.347024056,3,7,1.75,9.679230341
christiancp,0,2,1,3,24,6,0.353726007,3,4,1.333333333,3.771236166
christie2,1,9,4,5.909090909,15.88888889,20.33333333,2.09884418,2,3,0.230769231,12.06147959
christina7,0,10,1,20,0,136,3.645816597,3,4,0.454545455,10.07492592
christine_arenson,1,5,0,0,0,0,1.601381286,2,7,1.4,6.05309838
christine_bobbitt,0,0,1,0,0,0,0.325427612,0,17,17,0
christine_lies,0,0,1,0,0,0,0.325427612,0,0,0,0
christine_ng,0,2,1,0,0,0,0.696168833,1,0,0.666666667,16.51934892
christy_jaylin_s_mom,1,2,1,0,0,0,0.690009271,2,47,16,0.471404521
chrystal2,1,1,2,0,0,0,0.325427612,5,0,1.333333333,1.885618083
cincin,0,0,1,3,0,0,0.178019898,4,3,3,0
ckurpiewski,1,0,1,0,0,0,0.178019898,6,22,22,0
clarence_haynes,1,0,1,0,0,0,0.36458166,1,17,17,0
claudia29,0,3,0,0,0,0,1.060750492,7,15,5,10.84230398
cliff1,1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
clive,0,5,0,0,0,0,0.470016687,0,11,6.2,8.390470785
clubkobe,1,0,0,2.5,0,0,0,2,3.874194056,1.889718175,3.779269363
coastal1,1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363
coastie_ync,0,2,1,0,0,0,0,3,2,1.333333333,0.942809042
colbaugh,0,4,1,0,0,0,1.392337665,6,0,2.8,16.80952111
colleen5,0,13,0,0,0,0,1.767257007,2,4,0.923076923,23.82033342
colleen9,0,3,3,5.333333333,1.333333333,6.333333333,0.231409896,4,3,0.5,17.32692189
colorado,1,22,9,0,0,0,6.607444349,1,5,0.161290323,53.95635497
conniem,0,2,0,0,52.5,50.5,0.325427612,3,4,15.5,13.5
corey1,0,6,1,0,0,0,1.705446154,1,16,2.285714286,58.23106682
corrie,0,2,0,0,0,0,0.493688308,4,3,16.5,15
corrin_mcmillan,0,1,1,0,0,0,0.325427612,2,1,1,0.5
countrygirl,0,4,0,0,0,0,1.060750492,5,79,40.25,34.25182477
courtney1,0,4,19,0,0,0,1.092573515,0,0,3.826086957,19.51684842
craig1464,1,0,1,0,0,0,0.045935232,5,0,0,0
craig_c,0,13,0,0,0,0,4.525097412,5,5,0.384615385,54.27772108
creon,0,0,1,0,0,0,0.178019898,5,1,1,0
criselda_lam_villar,0,1,0,0,0,0,0.325427612,1,5,5,0
curt,0,0,1,4,0,0,0.36458166,2,0,0,0
cyndibug,1,1,0,7,0,6,0.348084416,5,8,8,0
cyndie1,0,0,1,0,0,0,0.178019898,7,0,0,0
cyndym,0,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
cynthia_kahn,0,8,0,0,0,0,1.882376223,2,3,0.375,20.70288325
d_d_flack,1,9,1,0,0,0,3.130778306,2,25,3.9,17.18836816
dale3,0,2,0,0,0,0,0.356039795,3,47,23.5,0
dale4,1,9,2,6.25,18.66666667,96.66666667,2.267162791,3,4,0.454545455,49.97172754
dallas2,1,3,0,0,0,0,1.060750492,5,2,25.66666667,35.35533906
dana_wehr_jones,1,0,1,0,0,0,0.143054647,3,54,54,0
danab,0,5,0,0,0,0,1.750759764,3,22,4.6,5.114684741
dani_harder,0,2,0,0,0,0,0.729163319,2,17,8.5,7
daniel16,0,13,1,0,11.30769231,2.769230769,1.446348099,5,26,3.071428571,7.262217011
daniel17,1,5,1,0,0,0,1.164651091,6,25,4.166666667,17.68630983
daniel8,0,3,0,0,0,0,1.044253249,2,3,1,20.23747898
daniel_w,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
danielle12,0,0,1,0,0,0,0.325427612,5,1,1,0
danijela,0,6,0,0,0,0,1.517857612,2,10,2.166666667,35.80968212
danine,1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
danmdphd,0,1,1,2,0,9,0.325427612,5,10,5,0
dannyr,0,2,1,0,0,0,0.348084416,3,45,15,0
